ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
,,,"4","Clear the field and enter valid MM/DD/YYYY format","Valid format MM/DD/YYYY is entered",,,
,,,"5","Observe no validation error","No validation error is displayed",,,

,"Test Case","Verify Clear button clears all search fields",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Navigate to Select Patient screen","Select Patient screen is displayed",,,
,,,"2","Enter data in multiple search fields","Data is entered in first name, last name, and DOB fields",,,
,,,"3","Click the Clear button","Clear button is clicked",,,
,,,"4","Observe all search fields","All search fields are cleared and empty",,,

,"Test Case","Verify patient selection and dropdown functionality",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Navigate to Select Patient screen and perform search","Search results with multiple patients are displayed",,,
,,,"2","Click on a patient in the results list","Patient is clicked",,,
,,,"3","Observe the selected patient is marked/highlighted","Selected patient is marked in the list",,,
,,,"4","Observe patient information dropdown","Patient information dropdown opens for selected patient",,,

,"Test Case","Verify Select Patient action activates Continue button",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Search for patients and select a patient from results","Patient is selected and dropdown is open",,,
,,,"2","Verify Continue button is inactive","Continue button is inactive/disabled",,,
,,,"3","Click Select Patient option in the dropdown","Select Patient option is clicked",,,
,,,"4","Observe the Continue button","Continue button becomes active/enabled",,,

,"Test Case","Verify navigation stepper indicates Select Patient step",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Authenticate successfully with valid credentials","Authentication is successful",,,
,,,"2","Choose Patient Consultation workflow","Patient Consultation workflow is chosen",,,
,,,"3","Observe the navigation stepper","Navigation stepper is displayed",,,
,,,"4","Verify current step indicator","Navigation stepper indicates Select Patient as current step",,,

,"Test Case","Verify Cancel button returns to Let's Get Started screen",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Navigate to Select Patient screen","Select Patient screen is displayed",,,
,,,"2","Click the Cancel button in the navigation stepper","Cancel button is clicked",,,
,,,"3","Observe the screen navigation","Application returns to Let's Get Started screen",,,
,,,"4","Verify consult status","Consult is canceled",,,

,"Test Case","Verify Continue button navigates to Enter Symptoms screen",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Navigate to Select Patient screen and select a patient","Patient is selected and Continue button is active",,,
,,,"2","Click the Continue button","Continue button is clicked",,,
,,,"3","Observe the screen navigation","Application navigates to Enter Symptoms screen",,,
,,,"4","Verify navigation is successful","Enter Symptoms screen is displayed",,,

,"Test Case","Verify DICOM Worklist toggle replaces Alternative ID with Accession ID",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Navigate to Select Patient screen","Select Patient screen is displayed",,,
,,,"2","Observe the Alternative ID field is present","Alternative ID field is displayed in search form",,,
,,,"3","Toggle ON the Use Dicom Worklist toggle","Use Dicom Worklist toggle is turned ON",,,
,,,"4","Observe the field change","Alternative ID field is replaced with Accession ID field",,,
,,,"5","Enter Accession ID and perform search","Search by Accession ID works and returns results",,,

,"Test Case","Verify Accession number is optional in DICOM search",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Navigate to Select Patient screen and toggle ON Use Dicom Worklist","Accession ID field is displayed",,,
,,,"2","Leave Accession number field blank","Accession number field is empty",,,
,,,"3","Enter other search criteria","Other search criteria is entered (e.g. first name, last name)",,,
,,,"4","Click the Search button","Search executes successfully",,,
,,,"5","Observe search results","Search works without Accession number as criteria",,,

,"Test Case","Verify Create Patient button and message display on screen load",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Navigate to Select Patient screen","Select Patient screen is displayed",,,
,,,"2","Observe the Patient Search Results area before searching","Patient Search Results area is visible",,,
,,,"3","Verify Create Patient button is visible","Create Patient button is displayed",,,
,,,"4","Verify message above results area","Message, 'Patient search results will appear here', is displayed",,,
